57;guasdapratasp;ÁGUAS DA PRATA/SP;São Paulo;Adamantina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
57;guasdapratasp;ÁGUAS DA PRATA/SP;São Paulo;Águas da Prata;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
57;guasdapratasp;ÁGUAS DA PRATA/SP;São Paulo;Águas de Santa Bárbara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
56;aguasdapratasp;AGUAS DA PRATA - SP;São Paulo;Águas de São Pedro;%Similaridade0.5
57;guasdapratasp;ÁGUAS DA PRATA/SP;São Paulo;Águas de São Pedro;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
58;aguasdelindoia;AGUAS DE LINDOIA;São Paulo;Águas de Lindóia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
58;aguasdelindoia;AGUAS DE LINDOIA;São Paulo;Águas de Santa Bárbara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
56;aguasdapratasp;AGUAS DA PRATA - SP;São Paulo;Águas de São Pedro;%Similaridade0.5
57;guasdapratasp;ÁGUAS DA PRATA/SP;São Paulo;Águas de São Pedro;%Similaridade0.5
58;aguasdelindoia;AGUAS DE LINDOIA;São Paulo;Águas de São Pedro;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
58;aguasdelindoia;AGUAS DE LINDOIA;São Paulo;Agudos;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
58;aguasdelindoia;AGUAS DE LINDOIA;São Paulo;Alvinlândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
58;aguasdelindoia;AGUAS DE LINDOIA;São Paulo;Analândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
58;aguasdelindoia;AGUAS DE LINDOIA;São Paulo;Andradina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
59;guaslindasdegois;Águas Lindas De Goiás;Goiás;Abadia de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
59;guaslindasdegois;Águas Lindas De Goiás;Goiás;Água Fria de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
59;guaslindasdegois;Águas Lindas De Goiás;Goiás;Água Limpa;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
59;guaslindasdegois;Águas Lindas De Goiás;Goiás;Águas Lindas de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
1;abadiadegoias;ABADIA DE GOIAS;Goiás;Alto Paraíso de Goiás;%Similaridade0.5
59;guaslindasdegois;Águas Lindas De Goiás;Goiás;Alto Paraíso de Goiás;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
60;guasvermelhas;Águas Vermelhas;Minas Gerais;Águas Formosas;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
60;guasvermelhas;Águas Vermelhas;Minas Gerais;Águas Vermelhas;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
61;agudossp;AGUDOS/SP;São Paulo;Aguaí;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
61;agudossp;AGUDOS/SP;São Paulo;Agudos;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
62;aiuaba;Aiuaba;Ceará;Acaraú;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
62;aiuaba;Aiuaba;Ceará;Acopiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
62;aiuaba;Aiuaba;Ceará;Aiuaba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
65;alagoinha;Alagoinha;Paraíba;Aguiar;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
65;alagoinha;Alagoinha;Paraíba;Alagoa Grande;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
65;alagoinha;Alagoinha;Paraíba;Alagoa Nova;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
65;alagoinha;Alagoinha;Paraíba;Alagoinha;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
65;alagoinha;Alagoinha;Paraíba;Algodão de Jandaíra;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
67;alagoinhasba;ALAGOINHAS/BA;Bahia;Alagoinhas;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
67;alagoinhasba;ALAGOINHAS/BA;Bahia;Alcobaça;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
67;alagoinhasba;ALAGOINHAS/BA;Bahia;Almadina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
67;alagoinhasba;ALAGOINHAS/BA;Bahia;Amargosa;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
34;adustina;Adustina;Bahia;Andorinha;%Similaridade0.5
67;alagoinhasba;ALAGOINHAS/BA;Bahia;Andorinha;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
68;alambarisp;ALAMBARI - SP;São Paulo;Adamantina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
68;alambarisp;ALAMBARI - SP;São Paulo;Alambari;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
68;alambarisp;ALAMBARI - SP;São Paulo;Altair;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
68;alambarisp;ALAMBARI - SP;São Paulo;Amparo;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
68;alambarisp;ALAMBARI - SP;São Paulo;Areias;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
68;alambarisp;ALAMBARI - SP;São Paulo;Auriflama;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
68;alambarisp;ALAMBARI - SP;São Paulo;Balbinos;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
68;alambarisp;ALAMBARI - SP;São Paulo;Bariri;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
12;acailandia;ACAILANDIA;Maranhão;Açailândia;%Similaridade0.5
69;alcntara;Alcântara;Maranhão;Açailândia;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
69;alcntara;Alcântara;Maranhão;Alcântara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
69;alcntara;Alcântara;Maranhão;Alto Parnaíba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
70;alcntaras;Alcântaras;Ceará;Abaiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
70;alcntaras;Alcântaras;Ceará;Acarape;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
70;alcntaras;Alcântaras;Ceará;Acaraú;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
70;alcntaras;Alcântaras;Ceará;Acopiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
17;acarapce;ACARAPÉ/CE;Ceará;Alcântaras;%Similaridade0.5
22;acopiara;Acopiara;Ceará;Alcântaras;%Similaridade0.5
23;acopiarace;ACOPIARA - CE;Ceará;Alcântaras;%Similaridade0.5
24;acopiarace;ACOPIARA/CE;Ceará;Alcântaras;%Similaridade0.5
70;alcntaras;Alcântaras;Ceará;Alcântaras;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
18;acarau;ACARAU;Ceará;Altaneira;%Similaridade0.5
70;alcntaras;Alcântaras;Ceará;Altaneira;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
71;alcntarasce;ALCÂNTARAS/CE;Ceará;Acarape;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
71;alcntarasce;ALCÂNTARAS/CE;Ceará;Acaraú;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
71;alcntarasce;ALCÂNTARAS/CE;Ceará;Acopiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
17;acarapce;ACARAPÉ/CE;Ceará;Alcântaras;%Similaridade0.5
22;acopiara;Acopiara;Ceará;Alcântaras;%Similaridade0.5
23;acopiarace;ACOPIARA - CE;Ceará;Alcântaras;%Similaridade0.5
24;acopiarace;ACOPIARA/CE;Ceará;Alcântaras;%Similaridade0.5
71;alcntarasce;ALCÂNTARAS/CE;Ceará;Alcântaras;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
18;acarau;ACARAU;Ceará;Altaneira;%Similaridade0.5
70;alcntaras;Alcântaras;Ceará;Altaneira;%Similaridade0.5
71;alcntarasce;ALCÂNTARAS/CE;Ceará;Altaneira;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
73;alcobaca;ALCOBACA;Bahia;Abaíra;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
73;alcobaca;ALCOBACA;Bahia;Abaré;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
73;alcobaca;ALCOBACA;Bahia;Alcobaça;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
73;alcobaca;ALCOBACA;Bahia;Almadina;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
15;acajutiba;Acajutiba;Bahia;Aracatu;%Similaridade0.5
73;alcobaca;ALCOBACA;Bahia;Aracatu;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
73;alcobaca;ALCOBACA;Bahia;Arataca;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
